persona,bloque,letra_objetivo,sena_a_ejecutar,resultado,intentos,notas
P6,correcta,Y,Y,,,
P6,correcta,D,D,,,
P6,correcta,E,E,,,
P6,correcta,Y,Y,,,
P6,correcta,B,B,,,
P6,correcta,Q,Q,,,
P6,correcta,R,R,,,
P6,correcta,G,G,,,
P6,correcta,U,U,,,
P6,correcta,A,A,,,
P6,correcta,P,P,,,
P6,correcta,A,A,,,
P6,correcta,P,P,,,
P6,correcta,H,H,,,
P6,correcta,F,F,,,
P6,correcta,O,O,,,
P6,correcta,R,R,,,
P6,correcta,T,T,,,
P6,correcta,S,S,,,
P6,correcta,C,C,,,
P6,correcta,M,M,,,
P6,correcta,U,U,,,
P6,correcta,Q,Q,,,
P6,correcta,Y,Y,,,
P6,correcta,L,L,,,
P6,correcta,H,H,,,
P6,correcta,I,I,,,
P6,correcta,N,N,,,
P6,correcta,T,T,,,
P6,correcta,G,G,,,
P6,correcta,I,I,,,
P6,correcta,G,G,,,
P6,correcta,M,M,,,
P6,correcta,H,H,,,
P6,correcta,V,V,,,
P6,correcta,W,W,,,
P6,correcta,T,T,,,
P6,correcta,X,X,,,
P6,correcta,J,J,,,
P6,correcta,C,C,,,
P6,correcta,V,V,,,
P6,correcta,P,P,,,
P6,correcta,K,K,,,
P6,correcta,I,I,,,
P6,correcta,D,D,,,
P6,correcta,B,B,,,
P6,correcta,E,E,,,
P6,correcta,J,J,,,
P6,correcta,X,X,,,
P6,correcta,L,L,,,
P6,correcta,F,F,,,
P6,correcta,W,W,,,
P6,correcta,O,O,,,
P6,correcta,C,C,,,
P6,correcta,D,D,,,
P6,correcta,M,M,,,
P6,correcta,V,V,,,
P6,correcta,L,L,,,
P6,correcta,W,W,,,
P6,correcta,Q,Q,,,
P6,correcta,X,X,,,
P6,correcta,F,F,,,
P6,correcta,B,B,,,
P6,correcta,E,E,,,
P6,correcta,N,N,,,
P6,correcta,A,A,,,
P6,correcta,R,R,,,
P6,correcta,K,K,,,
P6,correcta,S,S,,,
P6,correcta,U,U,,,
P6,correcta,J,J,,,
P6,correcta,S,S,,,
P6,correcta,N,N,,,
P6,correcta,O,O,,,
P6,correcta,K,K,,,
P6,confusion,E,C,,,
P6,confusion,W,T,,,
P6,confusion,C,E,,,
P6,confusion,P,NN,,,
P6,confusion,P,NN,,,
P6,confusion,S,G,,,
P6,confusion,T,H,,,
P6,confusion,O,C,,,
P6,confusion,K,G,,,
P6,confusion,V,R,,,
P6,confusion,S,G,,,
P6,confusion,C,E,,,
P6,confusion,Y,U,,,
P6,confusion,N,NN,,,
P6,confusion,L,F,,,
P6,confusion,L,F,,,
P6,confusion,M,N,,,
P6,confusion,E,C,,,
P6,confusion,M,N,,,
P6,confusion,Q,T,,,
P6,confusion,G,X,,,
P6,confusion,N,NN,,,
P6,confusion,F,L,,,
P6,confusion,I,J,,,
P6,confusion,Q,T,,,
P6,confusion,V,R,,,
P6,confusion,L,F,,,
P6,confusion,K,G,,,
P6,confusion,P,NN,,,
P6,confusion,J,I,,,
P6,confusion,D,O,,,
P6,confusion,H,R,,,
P6,confusion,B,T,,,
P6,confusion,B,T,,,
P6,confusion,Y,U,,,
P6,confusion,R,S,,,
P6,confusion,G,X,,,
P6,confusion,Q,T,,,
P6,confusion,N,NN,,,
P6,confusion,X,G,,,
P6,confusion,A,Y,,,
P6,confusion,V,R,,,
P6,confusion,B,T,,,
P6,confusion,K,G,,,
P6,confusion,X,G,,,
P6,confusion,T,H,,,
P6,confusion,R,S,,,
P6,confusion,W,T,,,
P6,confusion,I,J,,,
P6,confusion,I,J,,,
P6,confusion,G,X,,,
P6,confusion,J,I,,,
P6,confusion,Y,U,,,
P6,confusion,R,S,,,
P6,confusion,A,Y,,,
P6,confusion,T,H,,,
P6,confusion,J,I,,,
P6,confusion,M,N,,,
P6,confusion,H,R,,,
P6,confusion,U,Y,,,
P6,confusion,F,L,,,
P6,confusion,S,G,,,
P6,confusion,D,O,,,
P6,confusion,W,T,,,
P6,confusion,O,C,,,
P6,confusion,F,L,,,
P6,confusion,U,Y,,,
P6,confusion,E,C,,,
P6,confusion,C,E,,,
P6,confusion,U,Y,,,
P6,confusion,A,Y,,,
P6,confusion,X,G,,,
P6,confusion,H,R,,,
P6,confusion,O,C,,,
P6,confusion,D,O,,,
